Lp.;Nazwa Muzeum;Kod pocztowy;Miejscowość;Gmina;Powiat;Województwo;ul./Aleja/Plac/;Ulica;Numer domu;Numer lokalu;Kod pocztowy (adres pocztowy jeśli nie występuje w komórkach C1-G1);Miejscość (adres dodatkowy );ul./Aleja/Plac (adres dodatkowy);Ulica i numer domu (adres dodatkowy);Numer domu (adres dodatkowy;Numer lokalu (adres dodatkowy);Nazwa Organizatora/ Założyciela;Nazwa Organizatora I/ Założyciela;Nazwa Organizatora II/ Założyciela;Nazwa Organizatora III/ Założyciela;Data wpisu do Państwowego Rejestru Muzeów (dotyczy Muzeum wpisanego do Państwowego Rejestru Muzeów);Status muzeum;Data wykreślenia z rejestru;zakończenie procesu organizacji
24;Muzeum Budownictwa Ludowego – Park Etnograficzny w Olsztynku;11-015;Olsztynek;Olsztynek;olsztyński;WARMIŃSKO-MAZURSKIE;ul.;Leśna;23;;;;;;;;Województwo Warmińsko – Mazurskie ;;;;2008-12-30;Samorządowe;;
25;Muzeum Budownictwa Ludowego w Sanoku;38-500;Sanok;Sanok;sanocki;PODKARPACKIE;ul.;Traugutta;3;;;;;;;;Województwo Podkarpackie ;;;;2005-09-21;Samorządowe;;
26;Muzeum Ceramiki w Bolesławcu;59-700;Bolesławiec;Bolesławiec;bolesławiecki;DOLNOŚLĄSKIE;ul.;Mickiewicza;13;;;;;;;;Gmina Miejska Bolesławiec;;;;;Samorządowe;;
27;Muzeum Częstochowskie;42-217;Częstochowa;Częstochowa;m. Częstochowa;ŚLĄSKIE;Aleja;Najświętszej Marii Panny;47;;;;;;;;Gmina Częstochowa;;;;;Samorządowe;;
28;Muzeum Dawnego Kupiectwa w Świdnicy;58-100;Świdnica;Świdnica;świdnicki;DOLNOŚLĄSKIE;ul.;Rynek;37;;;;;;;;Gmina Miasto Świdnica;;;;2018-12-28;Samorządowe;;
29;Muzeum Dobranocek ze Zbiorów Wojciecha Jamy w Rzeszowie;35-064;Rzeszów;Rzeszów;m. Rzeszów;PODKARPACKIE;ul.;Mickiewicza;13;;;;;;;;Gmina Miasto Rzeszów;;;;;Samorządowe;;
30;Muzeum Dulag 121;05-800;Pruszków;Pruszków;pruszkowski;MAZOWIECKIE;ul.;3 Maja ;8a;;;;;;;;Powiat Pruszkowski;;;;;Samorządowe;;
31;Muzeum - Dwory Karwacjanów i Gładyszów;38-300;Gorlice;Gorlice;gorlicki;MAŁOPOLSKIE;ul.;Wróblewskiego;10a;;;;;;;;Województwo Małopolskie;;;;;Samorządowe;;
32;Muzeum Emigracji w Gdyni ;81-372;Gdynia;Gdynia;m. Gdynia;POMORSKIE;ul.;Armii Krajowej;24;;;;;;;;Gmina Miasta Gdyni ;;;;;Samorządowe;;
33;Muzeum Etnograficzne w Zielonej Górze - Ochli;66-006;Ochla;Kiełpin;zielonogórski;LUBUSKIE;ul.;Muzealna;5;;;;;;;;Województwo Lubuskie;;;;1998-07-06;Samorządowe;;
34;Muzeum Etnograficzne im. Marii Znamierowskiej - Prüfferowej w Toruniu;87-100;Toruń;Toruń;m. Toruń;KUJAWSKO-POMORSKIE;ul.;Wały gen. Sikorskiego;19;;;;;;;;Województwo Kujawsko-Pomorskie;;;;2005-09-21;Samorządowe;;
35;Muzeum Etnograficzne im. Seweryna Udzieli w Krakowie;31-066;Kraków;Kraków (Kraków-Śródmieście);m. Kraków;MAŁOPOLSKIE;ul.;Krakowska;46;;;;;;;;Województwo Małopolskie;;;;2006-11-07;Samorządowe;;
36;Muzeum Fauny i Flory Morskiej i Śródlądowej w Jaworzu;43-384;Jaworze;Jaworze;bielski;ŚLĄSKIE;ul.;Wapienicka;10;;;;;;;;Gmina Jaworze;;;;;Samorządowe;;
37;Muzeum Filumenistyczne w Bystrzycy Kłodzkiej;57-500;Bystrzyca Kłodzka;Bystrzyca Kłodzka;kłodzki;DOLNOŚLĄSKIE;ul.;Mały Rynek;1;;;;;;;;Gmina Bystrzyca Kłodzka;;;;;Samorządowe;;
38;Muzeum Gminne w Biszczy;23-425;Biszcza;Biszcza;biłgorajski;LUBELSKIE;ul.;Biszcza;50;;;;;;;;Gmina Biszcza;;;;;Samorządowe;;
39;Muzeum Górnictwa Węglowego w Zabrzu;41-800;Zabrze;Zabrze;m. Zabrze;ŚLĄSKIE;ul.;3 Maja ;19;;;;;;;;Miasto Zabrze i Województwo Śląskie;;;;;Samorządowe;;
40;Muzeum Górnośląskie w Bytomiu;40-902;Bytom;Bytom;m. Bytom;ŚLĄSKIE;Plac;Jana III Sobieskiego;2;;;;;;;;Województwo Śląskie;;;;;Samorządowe;;
41;Muzeum Henryka Sienkiewicza w Woli Okrzejskiej;21-480;Okrzeja;Okrzeja;łukowski;LUBELSKIE;;Wola Okrzejska;109;;;;;;;;Powiat Łukowski;;;;;Samorządowe;;
42;Muzeum Historii Fotografii im. Walerego Rzewuskiego w Krakowie;30-045;Kraków;Kraków (Kraków-Krowodrza);m. Kraków;MAŁOPOLSKIE;ul.;Józefitów;16;;;;;;;;Gmina Miejska Kraków ;;;;2014-02-12;Samorządowe;;
43;Muzeum Historii Katowic w Katowicach;40-025;Katowice;Katowice;m. Katowice;ŚLĄSKIE;ul.;Ks. J. Szafranka ;9;;;;;;;;Miasto Katowice;;;;;Samorządowe;;
44;Muzeum Historii Kielc;25-303;Kielce;Kielce;m. Kielce;ŚWIĘTOKRZYSKIE;ul.;Świętego Leonarda;4;;;;;;;;Miasto Kielce;;;;;Samorządowe;;
45;Muzeum Historii Miasta Zduńska Wola;98-220;Zduńska Wola;Zduńska Wola (Kolonia Karsznice);zduńskowolski;ŁÓDZKIE;ul.;Złotnickiego;7;;;;;;;;Miasto Zduńska Wola;;;;;Samorządowe;;
46;Muzeum Historii Polskiego Ruchu Ludowego w Warszawie;02-730;Warszawa;Warszawa (Mokotów);m. st. Warszawa;MAZOWIECKIE;Aleja;Wilanowska;204;;;;;;;;Samorząd Województwa Mazowieckiego;;;;1998-05-18;Samorządowe;;
47;Muzeum Historii Przemysłu w Opatówku;62-860;Opatówek;Opatówek;kaliski;WIELKOPOLSKIE;ul.;Kościelna;1;;;;;;;;Powiat Kaliski;;;;1998-12-28;Samorządowe;;
48;Muzeum Historii Ziemi Kamieńskiej;72-400;Kamień Pomorski;Kamień Pomorski;kamieński;ZACHODNIOPOMORSKIE;Plac;Katedralny;7;7;;;;;;;Gmina Kamień Pomorski;;;;;Samorządowe;;
49;Muzeum Gdańska;80-831;Gdańsk;Gdańsk;m. Gdańsk;POMORSKIE;ul.;Długa;46;47;;;;;;;Gmina Miasta Gdańska ;;;;2014-12-30;Samorządowe;;
50;Muzeum Historyczne Miasta Krakowa;31-011;Kraków;Kraków (Kraków-Śródmieście);m. Kraków;MAŁOPOLSKIE;ul.;Rynek Główny;35;;;;;;;;Gmina Miejska Kraków ;;;;2005-09-21;Samorządowe;;
51;Muzeum Historyczne Miasta Tarnobrzega;39-400;Tarnobrzeg;Tarnobrzeg;m. Tarnobrzeg;PODKARPACKIE;ul.;Sandomierska;27;;;;;;;;Gmina Tarnobrzeg;;;;;Samorządowe;;
52;Muzeum Historyczne - Pałac w Dukli;38-450;Dukla;Dukla;krośnieński;PODKARPACKIE;ul.;Trakt Węgierski;5;;;;;;;;Powiat Krośnieński;;;;;Samorządowe;;
53;Muzeum Historyczne Skierniewic w Skierniewicach;96-100;Skierniewice;Skierniewice;Skierniewice;ŁÓDZKIE;ul. ;Rynek;1;;;;;;;;Miasto Skierniewice;;;;;Samorządowe;;
54;Muzeum Historyczne w Bielsku-Białej;43-300;Bielsko-Biała;Bielsko-Biała;bielski;ŚLĄSKIE;ul.;Wzgórze;16;;;;;;;;Województwo Śląskie;;;;2016-07-26;Samorządowe;;
55;Muzeum Historyczne w Ełku (w organizacji);19-300;Ełk;Ełk;ełcki;WARMIŃSKO-MAZURSKIE;ul.;Małeckich;3;;;;;;;;Miasto Ełk;;;;;Samorządowe;;
56;Muzeum Historyczne w Legionowie;05-120;Legionowo;Legionowo;legionowski;MAZOWIECKIE;ul.;Adama Mickiewicza;23;;;;;;;;Gmina Legionowo;;;;;Samorządowe;;
57;Muzeum Historyczne w Lubinie;59-300 ;Lubin ;Lubin;lubiński;DOLNOŚLĄSKIE;ul. ;Pruzi;7;i9 ;;;;;;;Gmina Miejska Lubin;;;;;Samorządowe;;
58;Muzeum Historyczne w Przasnyszu (w organizacji);06-300;Przasnysz;Przasnysz;przasnyski;MAZOWIECKIE;ul.;Jana Kilińskiego;2;;;;;;;;Miasto Przasnysz ;;;;;Samorządowe;;
59;Muzeum Historyczne w Sanoku;38-500;Sanok;Sanok;sanocki;PODKARPACKIE;ul.;Zamkowa;2;;;;;;;;Powiat Sanocki;Województwo Podkarpackie ;;;;Samorządowe;;
60;Muzeum Historyczno-Archeologiczne w Ostrowcu Świętokrzyskim;27-400;Ostrowiec Świętokrzyski;Szewna;ostrowiecki;ŚWIĘTOKRZYSKIE;ul.;Sudół;135A;;;;;;;;Powiat Ostrowiecki;;;;2001-12-14;Samorządowe;;
61;Muzeum Historyczno-Etnograficzne im. Juliana Rydzkowskiego w Chojnicach;89-600;Chojnice;Chojnice;chojnicki;POMORSKIE;ul.;Podmurna;15;;;;;;;;Powiat Chojnicki;;;;2011-07-15;Samorządowe;;
62;Muzeum Hutnictwa w Chorzowie (w organizacji) ;41-500 ;Chorzów;Chorzów;Chorzów;ŚLĄSKIE;ul.;Powstańców;25;;;;;;;;Miasto Chorzów ;;;;;samorządowe;;
63;Muzeum im. Aleksandra Kłosińskiego w Kętach;32-650;Kęty;Kęty;oświęcimski;MAŁOPOLSKIE;ul.;Rynek;16;;;;;;;;Gmina Kęty;;;;;Samorządowe;;
64;Muzeum im. Anny i Jarosława Iwaszkiewiczów w Stawisku;05-807;Podkowa Leśna;Podkowa Leśna;grodziski;MAZOWIECKIE;ul.;Gołębia;1;;;;;;;;Powiat Grodziski;;;;;Samorządowe;;
65;Muzeum im. Jacka Malczewskiego w Radomiu;26-600;Radom;Radom;m. Radom;MAZOWIECKIE;ul.;Rynek;11;;;;;;;;Województwo Mazowieckie;;;;;Samorządowe;;
66;Muzeum im. Jana Dzierżona w Kluczborku;46-200;Kluczbork;Bąków;kluczborski;OPOLSKIE;ul.;Zamkowa;10;;;;;;;;Gmina Kluczbork;;;;;Samorządowe;;
67;"Muzeum im. Jana Kasprowicza w Inowrocławiu
";88-100;Inowrocław;Inowrocław;inowrocławski;KUJAWSKO-POMORSKIE;ul.;Solankowa;33;;;;;;;;Powiat Inowrocławski;;;;;Samorządowe;;
68;Muzeum im. Jerzego Dunin-Borkowskiego w Krośniewicach;99-340;Krośniewice;Krośniewice;kutnowski;ŁÓDZKIE;ul. ;Plac Wolności;1;;;;;;;;Powiat Kutnowski;;;;;Samorządowe;;
69;Muzeum im. ks. dr. Władysława Łęgi w Grudziądzu;86-300;Grudziądz;Grudziądz;m. Grudziądz;KUJAWSKO-POMORSKIE;ul.;Wodna;3;5;;;;;;;Gmina - Miasto Grudziądz;;;;1999-12-28;Samorządowe;;
70;Muzeum im. ks. Stanisława Staszica w Hrubieszowie;22-500;Hrubieszów;Hrubieszów;hrubieszowski;LUBELSKIE;ul.;3 Maja ;11;;;;;;;;Powiat Hrubieszowski;;;;;Samorządowe;;
71;Muzeum im. ,,Orła Białego” w Skarżysku - Kamiennej;26-110;Skarżysko - Kamienna;Skarżysko-Kamienna;skarżyski;ŚWIĘTOKRZYSKIE;ul.;Słoneczna;90;;;;;;;;Gmina Skarżysko - Kamienna;;;;;Samorządowe;;
72;Muzeum im. prof. Stanisława Fischera w Bochni;32-700;Bochnia;Bochnia;bocheński;MAŁOPOLSKIE;ul.;Rynek;20;;;;;;;;Gmina Miasta Bochnia;;;;;Samorządowe;;
73;Muzeum im. Przypkowskich w Jędrzejowie;28-300;Jędrzejów;Jędrzejów;jędrzejowski;ŚWIĘTOKRZYSKIE;pl. ;Tadeusza Kościuszki;7-;8;;;;;;;Powiat Jędrzejowski;;;;;Samorządowe;;
74;Muzeum im. Władysława Orkana w Rabce - Zdroju;34-700;Rabka-Zdrój;Rabka-Zdrój;nowotarski;MAŁOPOLSKIE;ul.;Sądecka;6;;;;;;;;Powiat Nowotarski;;;;;Samorządowe;;
75;Muzeum im. Wojciecha Kętrzyńskiego w Kętrzynie;11-400;Kętrzyn;Kętrzyn;kętrzyński;WARMIŃSKO-MAZURSKIE;pl.;Zamkowy;1;;;;;;;;Gmina Miejska Kętrzyn;;;;;Samorządowe;;
76;Muzeum im. Zofii i Wacława Nałkowskich w Wołominie;05-200;Wołomin;Wołomin;wołomiński;MAZOWIECKIE;ul.;Wacława Nałkowskiego;17;;;;;;;;Gmina Wołomin;;;;2004-08-30;Samorządowe;;
77;Muzeum Inżynierii Miejskiej w Krakowie;31-060;Kraków;Kraków (Kraków-Śródmieście);m. Kraków;MAŁOPOLSKIE;ul.;Św. Wawrzyńca;13;15;;;;;;;Gmina Miejska Kraków;;;;;Samorządowe;;
78;Muzeum Jana Kochanowskiego w Czarnolesie ;26-720;Policzna;Policzna;zwoleński;MAZOWIECKIE;;;;;;;;;;;Samorząd Województwa Mazowieckiego;;;;;Samorządowe;;
79;Muzeum Józefa Ignacego Kraszewskiego w Romanowie;21-518;Sosnówka;Sosnówka;bialski;LUBELSKIE;ul.;Romanów;25;;;;;;;;Powiat Bialski;;;;;Samorządowe;;
80;Muzeum Karkonoskie w Jeleniej Górze;58-500;Jelenia Góra;Jelenia Góra;m. Jelenia Góra;DOLNOŚLĄSKIE;ul.;Jana Matejki;28;;;;;;;;Województwo Dolnośląskie;;;;1998-12-28;Samorządowe;;
81;Muzeum Karykatury im. Eryka Lipińskiego w Warszawie;00-070;Warszawa;Warszawa (Śródmieście);m. st. Warszawa;MAZOWIECKIE;ul.;Kozia;11;;;;;;;;Miasto Stołeczne Warszawa;;;;;Samorządowe;;
82;Muzeum - Kaszubski Park Etnograficzny im. Teodory i Izydora Gulgowskich we Wdzydzach Kiszewskich;83-406;Wąglikowice;Kościerzyna;kościerski;POMORSKIE;ul.;Teodora i Izydora Gulgowskich;68;;;;;;;;Województwo Pomorskie ;;;;2002-11-28;Samorządowe;;
83;Muzeum Kaszubskie im. Franciszka Tredera w Kartuzach;83-300;Kartuzy;Dzierżążno;kartuski;POMORSKIE;ul.;Kościerska;1;;;;;;;;Gmina Kartuzy;;;;2001-01-25;Samorządowe;;
84;Muzeum Kinematografii w Łodzi;90-312;Łódź;Łódź (Łódź-Widzew);m. Łódź;ŁÓDZKIE;pl.;Zwycięstwa;1;;;;;;;;Miasto Łódź;;;;;Samorządowe;;
85;Muzeum Konstantego Ildefonsa Gałczyńskiego w Praniu z Oddziałem Muzeum Michała Kajki w Ogródku ;12-220;Ruciane Nida;Ruciane-Nida;piski;WARMIŃSKO-MAZURSKIE;;Pranie ;1;;;;;;;;Powiat Piski;;;;;Samorządowe;;
86;Muzeum Kresów w Lubaczowie;37-600;Lubaczów;Lubaczów;lubaczowski;PODKARPACKIE;ul.;Sobieskiego;4;;;;;;;;Powiat Lubaczowski ;;;;;Samorządowe;;
87;Muzeum Kultury Kurpiowskiej w Ostrołęce;07-410;Ostrołęka;Ostrołęka;m. Ostrołęka;MAZOWIECKIE;ul.;gen. Józefa Bema;8;;;;;;;;Województwo Mazowieckie;;;;;Samorządowe;;
88;Muzeum Kultury Ludowej Pogórza Sudeckiego w Kudowie - Zdroju;57-350;Kudowa-Zdrój;Kudowa-Zdrój;kłodzki;DOLNOŚLĄSKIE;ul.;Pstrążna;14;;;;;;;;Gmina Kudowa-Zdrój;;;;;Samorządowe;;
89;Muzeum Kultury Ludowej w Kolbuszowej;36-100;Kolbuszowa;Kolbuszowa;kolbuszowski;PODKARPACKIE;ul.;Tadeusza Kościuszki;6;;;;;;;;Województwo Podkarpackie ;;;;2011-01-31;Samorządowe;;
90;Muzeum Kultury Ludowej w Węgorzewie;11-600;Węgorzewo;Węgorzewo;węgorzewski;WARMIŃSKO-MAZURSKIE;ul.;Portowa;1;;;;;;;;Województwo Warmińsko – Mazurskie ;;;;2012-06-26;Samorządowe;;
91;Muzeum Lniarstwa im. Filipa De Girarda w Żyrardowie (w organizacji);96-300;Żyrardów;Żyrardów;żyrardowski;MAZOWIECKIE;ul.;Karola Ditricha;18;;;;;;;;Miasto Żyrardów;;;;;Samorządowe;;
92;Muzeum Lotnictwa Polskiego w Krakowie;31-864;Kraków;Kraków (Kraków-Śródmieście);m. Kraków;MAŁOPOLSKIE;Al.;Jana Pawła II;39;;;;;;;;Województwo Małopolskie;;;;2006-07-07;Samorządowe;;
93;Muzeum Lubuskie im. Jana Dekerta w Gorzowie Wielkopolskim;66-400;Gorzów Wielkopolski;Gorzów Wielkopolski;m. Gorzów Wielkopolski;LUBUSKIE;ul.;Warszawska;35;;;;;;;;Województwo Lubuskie;;;;1998-12-28;Samorządowe;;
94;Muzeum Ludowych Instrumentów Muzycznych w Szydłowcu;26-500;Szydłowiec;Szydłowiec;szydłowiecki;MAZOWIECKIE;ul.;gen. J.Sowińskiego;2;;;;;;;; Województwo Mazowieckie;;;;1999-12-28;Samorządowe;;
95;Muzeum Łużyckie w Zgorzelcu;59-900;Zgorzelec;Radzimów (Radzimów Dolny);zgorzelecki;DOLNOŚLĄSKIE;ul.;Daszyńskiego;15;;;;;;;;Gmina Zgorzelec;;;;;Samorządowe;;
96;Muzeum Marii Skłodowskiej - Curie w Warszawie;00-227;Warszawa;m.st. Warszawa;m.st. Warszawa ;MAZOWIECKIE;ul.;Freta;16;;;;;;;;Miasto Stołeczne Warszawa;Polskie Towarzystwo Chemiczne;;;;Samorządowe;;
97;Muzeum Marii Konopnickiej w Żarnowcu;38-460;Jedlicze;Jedlicze;krośnieński;PODKARPACKIE;;Żarnowiec;133;;;;;;;;Samorząd Województwo Podkarpackie;;;;;Samorządowe;;
98;Muzeum Martyrologiczne w Żabikowie;62-031;Luboń;Luboń;poznański;WIELKOPOLSKIE;ul.;Niezłomnych;2;;;;;;;;Województwo Wielkopolskie;;;;;Samorządowe;;
99;Muzeum Mazowieckie w Płocku;09-402;Płock;Płock;m. Płock;MAZOWIECKIE;ul.;Tumska;8;;;;;;;;Województwo Mazowieckie;;;;2004-08-30;Samorządowe;;
100;Muzeum Mazowsza Zachodniego w Żyrardowie ;96-300;Żyrardów;Żyrardów;żyrardowski;MAZOWIECKIE;ul.;Karola Ditricha;1;;;;;;;;Powiat Żyrardowski;;;;2001-01-25;Samorządowe;;
101;Muzeum Miasta Gdyni;81-374;Gdynia;Gdynia;m. Gdynia;POMORSKIE;ul.;Zawiszy Czarnego;1;;;;;;;;Gmina Miasta Gdyni;;;;;Samorządowe;;
102;Muzeum Miasta Jaworzna;43-600;Jaworzno;Jaworzno;m. Jaworzno;ŚLĄSKIE;ul.;Pocztowa;5;;;;;;;;Gmina Jaworzno - miasto na prawach powiatu;;;;;Samorządowe;;
103;Muzeum Miasta Łodzi;91-065;Łódź;Łódź (Łódź-Bałuty);m. Łódź;ŁÓDZKIE;ul.;Ogrodowa;15;;;;;;;;Miasto Łódź;;;;;Samorządowe;;
104;Muzeum Miasta Mysłowice;41-400;Mysłowice;Mysłowice;m. Mysłowice;ŚLĄSKIE;ul.;Stadionowa;7a;;;;;;;;Miasto Mysłowice;;;;;Samorządowe;;
105;Muzeum Miasta Ostrowa Wielkopolskiego;63-400;Ostrów Wielkopolski;Ostrów Wielkopolski;ostrowski;WIELKOPOLSKIE;ul.;Rynek;1;;;;;;;;Gmina Miasto Ostrów Wielkopolski ;;;;;Samorządowe;;
106;Muzeum Miasta Pabianic;95-200;Pabianice;Pabianice;pabianicki;ŁÓDZKIE;ul.;Stary Rynek;1;2;;;;;;;Miasto Pabianice;;;;;Samorządowe;;
107;Muzeum Miasta Turku im. Józefa Mehoffera;62-700;Turek;Turek;turecki;WIELKOPOLSKIE;Plac;Wojska Polskiego;1;;;;;;;;Gmina Miejska Turek ;;;;;Samorządowe;;
108;Muzeum Miasta Zgierza;95-100;Zgierz;Zgierz;zgierski;ŁÓDZKIE;ul.;gen. Jana Henryka Dąbrowskiego;21;;;;;;;;Gmina Miasto Zgierz;;;;;Samorządowe;;
109;Muzeum Miedzi w Legnicy;59-220;Legnica;Tyniec Legnicki;legnicki;DOLNOŚLĄSKIE;ul.;Partyzantów;3;;;;;;;;Gmina Legnica;;;;;Samorządowe;;
110;Muzeum Miejskie Dzierżoniowa ;58- 200;Dzierżoniów;Dzierżoniów;dzierżoniowki;DOLNOŚLĄSKIE;ul.;Świdnicka;30;;;;;;;;Gmina Miejska Dzierżoniów;;;;;Samorządowe;;
111;Muzeum Miejskie w Bieruniu (w organizacji);43-150;Bieruń;Bieruń; bieruńsko-lędziński;ŚLĄSKIE;ul.;Rynek;14;;;;;;;;Gmina Bieruń;;;;;Samorządowe;;
112;Muzeum Miejskie w Nowej Soli;67-100;Nowa Sól;Nowa Sól;nowosolski;LUBUSKIE;ul.;Muzealna;20;;;;;;;;Gmina miejska Nowa Sól ;;;;;Samorządowe;;
113;Muzeum Miejskie w Siemianowicach Śląskich;41-100;Siemianowice Śląskie;Siemianowice Śląskie;m. Siemianowice Śląskie;ŚLĄSKIE;ul.;Chopina;6;;;;;;;;Miasto na prawach powiatu Siemianowice Śląskie;;;;;Samorządowe;;
114;Muzeum Miejskie Suchej Beskidzkiej;34-200;Sucha Beskidzka;Krzeszów;suski;MAŁOPOLSKIE;ul.;Zamkowa;1;;;;;;;;Gmina Sucha Beskidzka;;;;;Samorządowe;;
